name,name_original,source_table,section,label_es,type,domain_min,domain_max,domain_levels,unit,notes
fortif_azucar_blanca_dias,Fortif_azucar_blanca_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió azúcar blanca (9=No sabe),binary,,,7,,
fortif_azucar_blanca_veces,Fortif_azucar_blanca_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió azúcar blanca,binary,,,2,,
fortif_sal_gruesa,Fortif_sal_gruesa,nino,e. Alimentos Fortificados,"Ayer consumió sal gruesa: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88,,
fortif_sal_gruesa_dias,Fortif_sal_gruesa_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió sal gruesa (9=No sabe),factor,,,1;2;3;4;5;6;7,,
fortif_sal_gruesa_veces,Fortif_sal_gruesa_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió sal gruesa,factor,,,1;2;3;4;5;6;7,,
fortif_sal_fina,Fortif_sal_fina,nino,e. Alimentos Fortificados,"Ayer consumió sal fina: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88;98,,
fortif_sal_fina_dias,Fortif_sal_fina_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió sal fina (9=No sabe),factor,,,1;3;4;7,,
fortif_sal_fina_veces,Fortif_sal_fina_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió sal fina,factor,,,1;2;3;4;5;7,,
fortif_sal_ganado,Fortif_sal_ganado,nino,e. Alimentos Fortificados,"Ayer consumió sal para ganados [animales]: 1=Sí, 2=No, 3=No consumen, 4=NS/NR",factor,,,1;2;88,,
fortif_sal_ganado_dias,Fortif_sal_ganado_dias,nino,e. Alimentos Fortificados,número de días durante los últimos 7 que consumió sal para ganados [animales] (9=No sabe),binary,,,7,,
fortif_sal_ganado_veces,Fortif_sal_ganado_veces,nino,e. Alimentos Fortificados,número de veces por día durante los últimos 7 que consumió sal para ganados [animales],binary,,,1;3,,
